"","lon","lat","id","owner","taken","upload","views","tags","title","imageURL","device"
"310","-78.713431","35.795188","37875025406","89333651@N00","2017-10-18 22:02:18","2017-10-25 16:42:16","12","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4452/37875025406_702bbac4d3.jpg","samsung SM-G955U1"
"311","-78.712681","35.797138","37875024556","89333651@N00","2017-10-18 21:53:54","2017-10-25 16:42:17","16","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4507/37875024556_489865da29.jpg","samsung SM-G955U1"
"312","-78.712728","35.797080","37875023466","89333651@N00","2017-10-18 21:48:57","2017-10-25 16:42:18","15","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4510/37875023466_ddc031cc42.jpg","samsung SM-G955U1"
"313","-78.712728","35.797080","37897027712","89333651@N00","2017-10-18 21:49:31","2017-10-25 16:42:18","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4456/37897027712_809ac5a220.jpg","samsung SM-G955U1"
"314","-78.710162","35.795483","24077041998","89333651@N00","2017-10-18 22:02:45","2017-10-25 16:42:19","17","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4483/24077041998_6e7100d243.jpg","samsung SM-G955U1"
"315","-78.711659","35.797041","24077040448","89333651@N00","2017-10-18 21:45:18","2017-10-25 16:42:20","14","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4457/24077040448_964abd0c96.jpg","samsung SM-G955U1"
"316","-78.711659","35.797041","24077038918","89333651@N00","2017-10-18 21:45:21","2017-10-25 16:42:21","14","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4444/24077038918_d7f72b7bbe.jpg","samsung SM-G955U1"
"317","-78.710939","35.795688","24077035628","89333651@N00","2017-10-18 21:37:42","2017-10-25 16:42:22","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4462/24077035628_b7ebb8ff7e.jpg","samsung SM-G955U1"
"318","-78.710242","35.797916","24077032168","89333651@N00","2017-10-18 21:41:54","2017-10-25 16:42:23","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4507/24077032168_bb51b812a3.jpg","samsung SM-G955U1"
"319","-78.710242","35.797916","24077028188","89333651@N00","2017-10-18 21:43:26","2017-10-25 16:42:24","14","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4488/24077028188_006e211132.jpg","samsung SM-G955U1"
